filter,thr,kept_n,skipped_n,kept_wr,kept_net,kept_pf,skipped_net
break_dist_atr<=0.5,0.5,55,59,29.09090909090909,-1783.5,0.7,5243.1
break_dist_atr<=1.0,1.0,78,36,29.48717948717949,-2178.2,0.71,5637.8
break_dist_atr<=1.5,1.5,97,17,35.051546391752574,594.7,1.07,2865.0
break_dist_atr<=2.0,2.0,104,10,37.5,1479.9,1.17,1979.7
break_dist_atr<=2.5,2.5,108,6,37.03703703703704,1215.2,1.13,2244.4
break_dist_atr<=3.0,3.0,112,2,39.285714285714285,2644.4,1.29,815.2
break_dist_atr<=4.0,4.0,113,1,39.823008849557525,3280.1,1.36,179.5
break_dist_atr<=5.0,5.0,114,0,40.35087719298245,3459.6,1.38,0.0
bars_since_box_end<=0,0,34,80,41.17647058823529,966.0,1.34,2493.6
bars_since_box_end<=1,1,53,61,39.62264150943396,527.4,1.12,2932.2
bars_since_box_end<=2,2,62,52,40.32258064516129,1144.4,1.23,2315.2
bars_since_box_end<=3,3,70,44,38.57142857142858,1234.9,1.22,2224.8
bars_since_box_end<=6,6,85,29,37.64705882352941,1363.7,1.21,2095.9
bars_since_box_end<=12,12,102,12,38.23529411764706,2268.7,1.27,1190.9
bars_since_box_end<=18,18,108,6,38.88888888888889,2320.5,1.26,1139.1
bars_since_box_end<=24,24,113,1,39.823008849557525,3280.1,1.36,179.5
bars_since_box_end<=36,36,114,0,40.35087719298245,3459.6,1.38,0.0
BD<=1.0 AND BSE<=6,1.0+6,65,49,30.76923076923077,-890.3,0.84,4349.9
BD<=1.5 AND BSE<=6,1.5+6,77,37,33.76623376623377,351.9,1.05,3107.7
BD<=2.0 AND BSE<=6,2.0+6,80,34,35.0,525.8,1.08,2933.9
BD<=2.0 AND BSE<=12,2.0+12,95,19,35.78947368421053,942.5,1.12,2517.1
BD<=3.0 AND BSE<=12,3.0+12,101,13,37.62376237623762,1633.0,1.19,1826.6
BD<=3.0 AND BSE<=18,3.0+18,107,7,38.31775700934579,1684.9,1.19,1774.7
